userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status,Segments
1253,33.0,333.0,0,9,3,3839,0,Retained
1254,18.0,328.0,1,9,1,242,0,Retained
1255,20.0,828.0,1,10,5,2268,0,Retained
1256,31.0,839.0,1,10,6,1027,0,Retained
1257,4.0,17.0,0,5,5,24656,1,Churn
1258,49.0,188.0,1,10,1,1008,0,Retained
1259,39.0,405.0,0,8,1,1523,0,Retained
1260,24.0,634.0,0,7,4,3562,0,Retained
1261,25.0,715.0,1,7,3,2310,0,Retained
1262,21.0,598.0,1,7,3,4136,0,Retained
1263,36.0,755.0,1,9,7,1391,0,Retained
1264,32.0,138.0,0,7,5,2432,0,Retained
1265,3.0,77.0,0,0,5,18701,1,Churn
1266,23.0,310.0,1,9,7,991,0,Retained
1267,25.0,477.0,0,8,6,3295,0,Retained
1268,4.0,91.0,1,2,15,36469,1,Needs Attention
1269,15.0,252.0,1,10,8,1324,0,Retained
1270,26.0,385.0,0,9,5,4941,0,Retained
1271,35.0,217.0,1,7,4,2463,0,Retained
1272,14.0,81.0,1,9,1,4230,0,Retained
1273,43.0,429.0,0,7,8,2769,0,Retained
1274,16.0,254.0,1,10,3,1754,0,Retained
1275,9.0,80.0,0,5,3,1828,0,Retained
1276,15.0,361.0,1,6,2,4539,0,Retained
1277,7.0,8.0,1,5,2,3001,0,Retained
1278,12.0,863.0,0,10,8,4269,0,Retained
1279,36.0,270.0,0,9,6,1728,0,Retained
1280,18.0,813.0,0,9,7,1459,0,Retained
1281,14.0,826.0,1,8,5,1776,0,Retained
1282,24.0,511.0,0,6,2,2284,0,Retained
1283,8.0,9.0,1,4,6,2119,0,Retained
1284,28.0,860.0,1,6,4,2833,0,Retained
1285,30.0,226.0,1,9,4,3766,0,Retained
1286,46.0,135.0,1,10,7,1042,0,Retained
1287,30.0,416.0,0,5,4,2998,0,Retained
1288,30.0,463.0,0,9,3,4154,0,Retained
1289,49.0,877.0,1,7,2,873,0,Retained
1290,17.0,360.0,0,10,5,2641,0,Retained
1291,32.0,830.0,1,9,6,3919,0,Retained
1292,0.0,32.0,1,4,13,21352,1,Churn
1293,22.0,909.0,0,10,8,942,0,Retained
1294,42.0,63.0,1,7,7,220,0,Retained
1295,36.0,300.0,1,9,6,3144,0,Retained
1296,34.0,285.0,1,7,6,673,0,Retained
1297,37.0,837.0,0,6,6,4166,0,Retained
1298,23.0,320.0,1,7,4,4058,0,Retained
1299,31.0,621.0,0,5,1,479,0,Retained
1300,14.0,152.0,0,9,7,1769,0,Retained
1301,26.0,486.0,1,7,6,1256,0,Retained
1302,19.0,401.0,1,6,6,3299,0,Retained
1303,5.0,79.0,0,2,6,5099,0,Retained
1304,0.0,95.0,0,0,6,17126,1,Churn
1305,33.0,778.0,1,9,4,1526,0,Retained
1306,11.0,923.0,1,10,5,4629,0,Retained
1307,4.0,38.0,0,0,2,5843,0,Retained
1308,31.0,95.0,0,10,7,272,0,Retained
1309,33.0,990.0,0,10,4,828,0,Retained
1310,49.0,679.0,0,10,7,1312,0,Retained
1311,33.0,617.0,1,7,3,3933,0,Retained
1312,22.0,994.0,0,10,5,4074,0,Retained
1313,25.0,519.0,0,7,5,4906,0,Retained
1314,9.0,25.0,0,2,7,2294,0,Retained
1315,17.0,396.0,0,9,4,4180,0,Retained
1316,47.0,226.0,1,10,1,3556,0,Retained
1317,18.0,993.0,0,8,2,3438,0,Retained
1318,44.0,107.0,0,6,2,1845,0,Retained
1319,40.0,869.0,1,6,1,4340,0,Retained
1320,23.0,60.0,1,6,1,614,0,Retained
1321,25.0,749.0,1,10,1,3127,0,Retained
1322,25.0,863.0,0,5,6,3663,0,Retained
1323,24.0,158.0,1,8,5,4578,0,Retained
1324,39.0,424.0,1,5,6,931,0,Retained
1325,25.0,984.0,1,7,6,1008,0,Retained
1326,6.0,20.0,1,1,7,2780,0,Retained
1327,42.0,988.0,0,8,4,1976,0,Retained
1328,2.0,39.0,0,1,15,45339,1,Needs Attention
1329,46.0,560.0,1,9,4,4557,0,Retained
1330,36.0,721.0,1,6,3,4769,0,Retained
1331,21.0,261.0,0,7,8,450,0,Retained
1332,0.0,100.0,1,5,3,13777,0,Churn
1333,29.0,492.0,1,8,8,4684,0,Retained
1334,11.0,222.0,0,8,5,4297,0,Retained
1335,17.0,788.0,0,7,1,4344,0,Retained
1336,1.0,31.0,0,4,11,47187,1,Needs Attention
1337,37.0,175.0,1,8,2,2190,0,Retained
1338,35.0,198.0,1,5,4,2290,0,Retained
1339,15.0,481.0,1,9,5,542,0,Retained
1340,18.0,863.0,1,5,6,1764,0,Retained
1341,49.0,580.0,0,8,8,4885,0,Retained
1342,24.0,216.0,0,10,1,3049,0,Retained
1343,12.0,69.0,0,8,5,2628,0,Retained
1344,15.0,807.0,0,5,1,4024,0,Retained
1345,26.0,739.0,0,8,5,4155,0,Retained
1346,27.0,704.0,1,9,1,3756,0,Retained
1347,24.0,357.0,1,7,2,640,0,Retained
1348,39.0,614.0,1,10,1,3173,0,Retained
1349,6.0,87.0,1,4,4,3890,0,Retained
1350,33.0,559.0,0,9,4,4818,0,Retained
1351,43.0,660.0,0,8,1,252,0,Retained
1352,49.0,623.0,0,8,1,4047,0,Retained
1353,5.0,93.0,0,4,10,49696,1,Needs Attention
1354,44.0,350.0,1,10,5,1642,0,Retained
1355,0.0,42.0,0,5,14,22099,1,Churn
1356,35.0,936.0,0,7,6,4705,0,Retained
1357,5.0,47.0,0,0,8,16523,1,Churn
1358,1.0,28.0,1,2,11,19278,1,Churn
1359,34.0,841.0,0,5,3,1115,0,Retained
1360,32.0,89.0,0,7,3,2953,0,Retained
1361,43.0,833.0,0,9,1,4551,0,Retained
1362,32.0,763.0,0,9,1,2295,0,Retained
1363,16.0,68.0,0,5,7,426,0,Retained
1364,45.0,330.0,0,8,5,1022,0,Retained
1365,25.0,159.0,0,7,7,4502,0,Retained
1366,24.0,340.0,1,10,6,2555,0,Retained
1367,46.0,832.0,0,6,7,577,0,Retained
1368,28.0,992.0,0,5,6,2163,0,Retained
1369,30.0,849.0,1,8,5,714,0,Retained
1370,26.0,742.0,0,6,7,4988,0,Retained
1371,8.0,73.0,1,1,4,3300,0,Retained
1372,33.0,190.0,1,5,2,789,0,Retained
1373,35.0,928.0,1,8,3,862,0,Retained
1374,12.0,718.0,0,9,1,1744,0,Retained
1375,49.0,238.0,1,8,6,4270,0,Retained
1376,34.0,736.0,0,10,6,4581,0,Retained
1377,20.0,992.0,1,7,5,2166,0,Retained
1378,18.0,165.0,0,10,1,430,0,Retained
1379,4.0,25.0,0,3,8,39153,1,Needs Attention
1380,7.0,75.0,0,5,7,697,0,Retained
1381,14.0,326.0,0,10,4,1944,0,Retained
1382,41.0,173.0,0,10,4,4647,0,Retained
1383,11.0,930.0,1,8,6,4989,0,Retained
1384,15.0,349.0,0,5,2,2546,0,Retained
1385,41.0,152.0,1,10,8,4526,0,Retained
1386,22.0,719.0,0,10,4,1658,0,Retained
1387,21.0,597.0,1,6,3,2828,0,Retained
1388,18.0,286.0,0,7,7,400,0,Retained
1389,35.0,754.0,1,8,5,1790,0,Retained
1390,34.0,88.0,1,9,4,2901,0,Retained
1391,4.0,50.0,0,0,11,27125,1,Churn
1392,16.0,768.0,1,6,4,2942,0,Retained
1393,18.0,158.0,1,10,8,2768,0,Retained
1394,19.0,729.0,0,9,3,1414,0,Retained
1395,0.0,97.0,0,3,9,37826,1,Needs Attention
1396,3.0,37.0,0,1,1,6641,0,Retained
1397,30.0,900.0,1,10,3,4080,0,Retained
1398,13.0,188.0,1,7,1,1791,0,Retained
1399,2.0,89.0,0,4,6,6207,0,Retained
1400,50.0,70.0,0,5,1,3670,0,Retained
1401,13.0,536.0,1,7,8,4247,0,Retained
1402,50.0,609.0,0,8,7,935,0,Retained
1403,23.0,796.0,0,6,4,2983,0,Retained
1404,34.0,95.0,1,9,6,969,0,Retained
1405,36.0,871.0,1,8,2,3179,0,Retained
1406,4.0,58.0,1,0,11,32302,1,Needs Attention
1407,7.0,10.0,1,2,6,1857,0,Retained
1408,41.0,733.0,1,10,8,4911,0,Retained
1409,34.0,608.0,1,9,7,2865,0,Retained
1410,20.0,506.0,1,6,8,1883,0,Retained
1411,31.0,977.0,0,6,3,1135,0,Retained
1412,35.0,761.0,0,7,3,1949,0,Retained
1413,41.0,708.0,1,8,2,680,0,Retained
1414,37.0,534.0,0,7,5,395,0,Retained
1415,8.0,71.0,0,1,5,4244,0,Retained
1416,2.0,9.0,1,3,2,5048,0,Retained
1417,8.0,4.0,1,2,1,967,0,Retained
1418,12.0,502.0,1,7,6,3111,0,Retained
1419,22.0,614.0,1,5,5,4067,0,Retained
1420,20.0,473.0,1,5,5,4950,0,Retained
1421,10.0,67.0,1,4,6,586,0,Retained
1422,40.0,254.0,0,9,3,1586,0,Retained
1423,18.0,558.0,1,6,8,2716,0,Retained
1424,31.0,513.0,0,5,3,2310,0,Retained
1425,39.0,80.0,0,7,5,3519,0,Retained
1426,44.0,621.0,1,8,2,2005,0,Retained
1427,34.0,902.0,1,5,1,572,0,Retained
1428,50.0,411.0,0,6,6,857,0,Retained
1429,9.0,63.0,0,0,2,4324,0,Retained
1430,13.0,889.0,1,10,3,3279,0,Retained
1431,40.0,347.0,0,9,1,2006,0,Retained
1432,44.0,546.0,1,10,6,222,0,Retained
1433,17.0,810.0,0,8,8,1541,0,Retained
1434,29.0,68.0,0,8,5,1316,0,Retained
1435,33.0,783.0,0,6,4,4893,0,Retained
1436,7.0,9.0,1,4,7,4060,0,Retained
1437,36.0,603.0,1,6,8,3949,0,Retained
1438,17.0,633.0,1,7,1,3840,0,Retained
1439,5.0,15.0,1,2,6,37453,1,Needs Attention
1440,10.0,65.0,0,2,6,2102,0,Retained
1441,30.0,481.0,1,5,6,1376,0,Retained
1442,29.0,93.0,0,5,1,4389,0,Retained
1443,29.0,568.0,1,8,4,2123,0,Retained
1444,33.0,423.0,0,7,1,3737,0,Retained
1445,47.0,319.0,0,5,5,1902,0,Retained
1446,35.0,434.0,1,10,1,3761,0,Retained
1447,45.0,75.0,0,5,7,3489,0,Retained
1448,19.0,786.0,0,5,6,4602,0,Retained
1449,23.0,551.0,1,9,5,3935,0,Retained
1450,7.0,85.0,1,0,6,2120,0,Retained
1451,33.0,486.0,0,6,4,1049,0,Retained
1452,49.0,267.0,0,7,1,4198,0,Retained
1453,41.0,566.0,1,5,6,507,0,Retained
1454,16.0,150.0,1,10,8,906,0,Retained
1455,30.0,623.0,1,7,2,650,0,Retained
1456,24.0,219.0,0,6,5,1842,0,Retained
1457,17.0,379.0,0,8,6,2521,0,Retained
1458,6.0,97.0,0,1,8,4164,0,Retained
1459,18.0,375.0,1,6,4,1668,0,Retained
1460,23.0,647.0,1,9,6,679,0,Retained
1461,8.0,44.0,0,3,1,1552,0,Retained
1462,41.0,635.0,0,6,6,301,0,Retained
1463,25.0,241.0,1,10,4,2932,0,Retained
1464,20.0,858.0,0,5,7,3131,0,Retained
1465,22.0,435.0,1,6,4,1778,0,Retained
1466,39.0,102.0,1,8,1,4891,0,Retained
1467,21.0,305.0,1,7,5,2681,0,Retained
1468,42.0,212.0,0,8,2,2220,0,Retained
1469,4.0,75.0,1,4,7,47412,1,Needs Attention
1470,35.0,805.0,0,6,1,1597,0,Retained
1471,42.0,693.0,1,6,5,1416,0,Retained
1472,22.0,981.0,0,5,1,3999,0,Retained
1473,25.0,275.0,1,8,6,3942,0,Retained
1474,20.0,460.0,1,7,3,1434,0,Retained
1475,11.0,273.0,0,9,4,2603,0,Retained
1476,0.0,66.0,0,0,10,31950,1,Needs Attention
1477,5.0,17.0,0,5,15,45979,1,Needs Attention
1478,50.0,886.0,1,9,6,524,0,Retained
1479,17.0,478.0,1,8,1,721,0,Retained
1480,29.0,368.0,1,9,3,4812,0,Retained
1481,11.0,510.0,0,5,6,952,0,Retained
1482,39.0,368.0,0,9,7,4734,0,Retained
1483,9.0,14.0,1,2,5,2188,0,Retained
1484,25.0,970.0,1,10,4,3392,0,Retained
1485,45.0,284.0,1,10,1,949,0,Retained
1486,8.0,39.0,1,4,3,3457,0,Retained
1487,13.0,125.0,1,10,6,1919,0,Retained
1488,13.0,619.0,1,10,7,4346,0,Retained
1489,31.0,207.0,1,7,7,2620,0,Retained
1490,42.0,83.0,1,7,4,4897,0,Retained
1491,36.0,633.0,0,5,1,2601,0,Retained
1492,0.0,21.0,1,5,15,38457,1,Needs Attention
1493,15.0,64.0,1,9,7,956,0,Retained
1494,16.0,767.0,1,8,5,2602,0,Retained
1495,28.0,75.0,0,9,7,500,0,Retained
1496,46.0,53.0,1,7,1,2569,0,Retained
1497,34.0,366.0,1,5,1,2581,0,Retained
1498,9.0,15.0,1,1,2,2196,0,Retained
1499,13.0,479.0,1,5,2,4646,0,Retained
1500,29.0,726.0,1,10,7,302,0,Retained
1501,2.0,81.0,0,4,10,15060,1,Churn
1502,2.0,25.0,0,2,13,45265,1,Needs Attention
1503,29.0,567.0,1,10,7,466,0,Retained
1504,26.0,819.0,1,10,5,4826,0,Retained
1505,19.0,636.0,0,5,5,1038,0,Retained
1506,33.0,829.0,0,6,1,226,0,Retained
1507,16.0,748.0,0,8,8,1085,0,Retained
1508,49.0,498.0,0,10,5,3756,0,Retained
1509,8.0,72.0,1,0,7,4645,0,Retained
1510,23.0,859.0,1,10,1,4409,0,Retained
1511,41.0,833.0,0,10,4,3604,0,Retained
1512,40.0,482.0,1,6,6,1655,0,Retained
1513,45.0,402.0,1,5,4,2847,0,Retained
1514,42.0,589.0,1,7,5,2934,0,Retained
1515,23.0,880.0,0,7,1,3340,0,Retained
1516,39.0,61.0,0,5,6,2057,0,Retained
1517,16.0,669.0,0,9,4,3067,0,Retained
1518,11.0,224.0,1,7,4,927,0,Retained
1519,11.0,845.0,1,10,1,1420,0,Retained
1520,4.0,44.0,1,3,7,3785,0,Retained
1521,16.0,415.0,0,10,1,1904,0,Retained
1522,6.0,7.0,1,5,7,835,0,Retained
1523,43.0,187.0,1,7,3,1030,0,Retained
1524,22.0,876.0,0,9,5,760,0,Retained
1525,19.0,79.0,1,9,1,2468,0,Retained
1526,37.0,678.0,0,8,6,4446,0,Retained
1527,14.0,530.0,0,6,7,3209,0,Retained
1528,41.0,319.0,1,7,6,4105,0,Retained
1529,28.0,427.0,1,6,8,2431,0,Retained
1530,49.0,161.0,0,10,2,4957,0,Retained
1531,29.0,516.0,0,9,6,3626,0,Retained
1532,19.0,168.0,0,8,8,926,0,Retained
1533,48.0,504.0,0,7,8,4643,0,Retained
1534,30.0,465.0,1,10,6,1275,0,Retained
